Company Symbol,Company Name,Total Ranking,Total Score,ROCE Rank,Earnings Yield Rank,EPS,Stock Price,Earnings Yield,EBIT,Liabilities,Assets,ROCE
LLY,Eli Lilly and Company,43.0,71.0,13.0,58.0,1.18,748.01,0.0015775190171254394,7040500000.0,53234400000.0,64006300000.0,0.6535987151755958
MSFT,Microsoft Corporation,45.0,73.0,24.0,49.0,3.3,417.0,0.007913669064748202,91279000000.0,243686000000.0,512163000000.0,0.33998815540996064
CVX,Chevron Corp,46.0,75.0,46.0,29.0,2.51,162.36,0.015459472776545944,30159000000.0,99703000000.0,261632000000.0,0.1862482940053974
MRK,Merck & Company Inc,47.0,77.0,53.0,24.0,1.57,99.18,0.01582980439604759,3023000000.0,69094000000.0,106675000000.0,0.08043958383225566
TSM,Taiwan Semiconductor Manufacturing,48.0,80.0,37.0,43.0,1.94,190.08,0.010206228956228955,921277100000.0,2049108368000.0,5532371215000.0,0.2644868160878127
TMUS,T-Mobile US Inc,49.0,81.0,42.0,39.0,2.61,238.28,0.010953500083934866,14266000000.0,142967000000.0,207682000000.0,0.2204434829637642
WMT,Walmart Inc,50.0,82.0,26.0,56.0,0.58,90.44,0.006413091552410438,27012000000.0,168538000000.0,252399000000.0,0.322104434719357
AMZN,Amazon.com Inc,51.0,97.0,45.0,52.0,1.43,197.12,0.007254464285714285,40707000000.0,325979000000.0,527854000000.0,0.20164458204334365
DIS,Walt Disney Company,52.0,99.0,54.0,45.0,1.14,115.65,0.009857328145265886,4698000000.0,95523000000.0,196219000000.0,0.04665527925637562
RIO,Rio Tinto ADR,52.0,99.0,39.0,60.0,0.0,62.35,0.0,14090000000.0,47208000000.0,103549000000.0,0.2500843080527502
AZN,AstraZeneca PLC ADR,52.0,99.0,44.0,55.0,0.4574,65.63,0.006969373761999086,8043000000.0,61953000000.0,101119000000.0,0.20535668692233058
BN,Brookfield Corp,55.0,111.0,52.0,59.0,0.0136,58.27,0.0002333962587952634,20016467749.0,320206303496.0,490095000000.0,0.11782106850486498
BTI,British American Tobacco p.l.c.,56.0,116.0,56.0,60.0,0.0,37.38,0.0,-15174000000.0,65782000000.0,118716000000.0,-0.28665885820077835
BRK.A,Unknown,,,,,,714280.0,,,,,
BRK.B,Unknown,,,,,,476.57,,,,,
PM,Philip Morris International Inc,,,,30.0,1.91,129.99,0.014693437956765903,11678000000.0,74750000000.0,65304000000.0,
MO,Altria Group,,,,14.0,1.38,56.73,0.024325753569539924,12077000000.0,42060000000.0,38570000000.0,
MCD,McDonald’s Corporation,,,,38.0,3.23,290.28,0.011127187543061872,11883000000.0,60853500000.0,56147000000.0,
HCA,HCA Holdings Inc,,,,28.0,5.03,324.93,0.015480257286184717,8795000000.0,57985000000.0,56211000000.0,
LOW,Lowe's Companies Inc,,,,41.0,2.89,264.68,0.010918845398216715,11557000000.0,56845000000.0,41795000000.0,
